TOKEN           LINE  COLUMN	LEXEME
PROGRAM            5       1	program
IDENTIFIER         5       9	lab1
SCOLON             5      13	;
VAR                6       5	var
IDENTIFIER         6      10	otherthing
COMMA              6      20	,
IDENTIFIER         6      22	choice
COLON              6      28	:
INTEGER            6      30	integer
SCOLON             6      37	;
IDENTIFIER         7       1	floatmathtest
COLON              7      14	:
FLOAT              7      16	float
SCOLON             7      21	;
IDENTIFIER         8       1	booleanvalue
COLON              8      13	:
BOOLEAN            8      15	boolean
SCOLON             8      22	;
IDENTIFIER         9       1	float_mathtest
COLON              9      15	:
STRING             9      17	string
SCOLON             9      23	;
IDENTIFIER        10       1	bob
COMMA             10       4	,
IDENTIFIER        10       6	fred
COLON             10      10	:
BOOLEAN           10      12	boolean
SCOLON            10      19	;
FUNCTION          12       1	function
IDENTIFIER        12      10	factorial
LPAREN            12      19	(
IDENTIFIER        12      21	b
COLON             12      22	:
INTEGER           12      24	integer
RPAREN            12      31	)
COLON             12      32	:
INTEGER           12      33	integer
SCOLON            12      40	;
VAR               13       1	var
IDENTIFIER        13       5	x
COLON             13       6	:
INTEGER           13       8	integer
SCOLON            13      15	;
BEGIN             14       1	begin
IF                15       1	if
IDENTIFIER        15       4	b
EQUAL             15       6	=
INTEGER_LIT       15       8	0
THEN              15      10	then
IDENTIFIER        16       1	factorial
ASSIGN            16      11	:=
INTEGER_LIT       16      14	1
ELSE              17       1	else
IDENTIFIER        18       1	factorial
ASSIGN            18      11	:=
IDENTIFIER        18      14	b
TIMES             18      16	*
IDENTIFIER        18      18	factorial
LPAREN            18      27	(
IDENTIFIER        18      28	b
MINUS             18      29	-
INTEGER_LIT       18      30	1
RPAREN            18      31	)
SCOLON            18      32	;
END               19       1	end
SCOLON            19       4	;
PROCEDURE         21       1	procedure
IDENTIFIER        21      11	listnum
LPAREN            21      18	(
IDENTIFIER        21      20	start
COLON             21      25	:
INTEGER           21      27	integer
RPAREN            21      34	)
SCOLON            21      35	;
VAR               22       1	var
IDENTIFIER        22       5	finish
COLON             22      11	:
INTEGER           22      13	integer
SCOLON            22      20	;
BEGIN             23       1	begin
IDENTIFIER        24       1	finish
ASSIGN            24       8	:=
MINUS             24      11	-
INTEGER_LIT       24      12	50
SCOLON            24      14	;
WHILE             25       1	while
IDENTIFIER        25       7	start
GTHAN             25      13	>
IDENTIFIER        25      15	finish
DO                25      22	do
BEGIN             26       1	begin
WRITE             27       1	write
LPAREN            27       6	(
IDENTIFIER        27       7	start
COMMA             27      12	,
STRING_LIT        27      14	" "
RPAREN            27      17	)
SCOLON            27      18	;
IDENTIFIER        28       1	start
ASSIGN            28       7	:=
IDENTIFIER        28      10	start
MINUS             28      16	-
INTEGER_LIT       28      18	1
SCOLON            28      19	;
END               29       1	end
SCOLON            29       4	;
WRITELN           30       1	writeln
LPAREN            30       8	(
STRING_LIT        30       9	""
RPAREN            30      11	)
SCOLON            30      12	;
END               31       1	end
SCOLON            31       4	;
PROCEDURE         36       1	procedure
IDENTIFIER        36      11	scopetest
SCOLON            36      20	;
VAR               37       1	var
IDENTIFIER        37       5	otherthing
COLON             37      15	:
FLOAT             37      17	float
SCOLON            37      22	;
BEGIN             38       1	begin
IDENTIFIER        39       1	otherthing
ASSIGN            39      12	:=
INTEGER_LIT       39      15	1
TIMES             39      17	*
FLOAT_LIT         39      22	2.0
FLOAT_DIVIDE      39      23	/
INTEGER_LIT       39      25	4
PLUS              39      27	+
INTEGER_LIT       39      29	2
SCOLON            39      30	;
WRITELN           40       1	writeln
LPAREN            40       8	(
STRING_LIT        40       9	"From procedure otherthing is: "
COMMA             40      41	,
IDENTIFIER        40      43	otherthing
RPAREN            40      53	)
SCOLON            40      54	;
END               41       1	end
SCOLON            41       4	;
FUNCTION          43       1	function
IDENTIFIER        43      10	retstring
LPAREN            43      19	(
IDENTIFIER        43      21	x
COMMA             43      22	,
IDENTIFIER        43      23	y
COLON             43      24	:
FLOAT             43      25	float
SCOLON            43      30	;
IDENTIFIER        43      32	b
COLON             43      33	:
STRING            43      34	string
RPAREN            43      40	)
COLON             43      41	:
STRING            43      42	string
SCOLON            43      48	;
VAR               44       1	var
IDENTIFIER        44       5	intconverter
COLON             44      17	:
INTEGER           44      19	integer
SCOLON            44      26	;
PROCEDURE         45       1	procedure
IDENTIFIER        45      11	imbedded
LPAREN            45      19	(
IDENTIFIER        45      20	b
COLON             45      21	:
INTEGER           45      22	integer
RPAREN            45      29	)
SCOLON            45      30	;
PROCEDURE         47       1	procedure
IDENTIFIER        47      11	imbeddedagain
LPAREN            47      24	(
IDENTIFIER        47      25	b
COLON             47      26	:
